Nombre, AR (J2000), Dec (J2000), Mag., "A. S., '", S.B., Tránsito, Elev., Elong., Tipo
M 1 (Nebulosa del Cangrejo),    5h34m32.0s, +22°00'51.8", 9.69, 8.000, 13.19, 18h05m, +72°37'01.64", 90°35'39.5", resto de supernova
M 3,   13h42m12.8s, +28°22'26.1", 6.47, 18.000, 12.49, 2h15m, +66°24'11.10", 140°24'57.5", cúmulo estelar globular
M 4 (Cúmulo Globular del Cangrejo),   16h23m35.6s, -26°31'31.8", 6.09, 26.000, 12.91, 4h56m, +58°45'56.91", 104°57'34.6", cúmulo estelar globular
M 5 (Cúmulo Rosa),   15h18m33.9s, +2°04'43.0", 5.96, 23.000, 12.50, 3h51m, +87°20'11.82", 124°26'30.7", cúmulo estelar globular
M 10,   16h57m09.2s, -4°06'07.9", 7.83, 20.000, 14.07, 5h29m, +81°12'29.78", 99°31'28.5", cúmulo estelar globular
M 12 (Cúmulo Globular Gumball),   16h47m14.4s, -1°57'02.2", 6.97, 16.000, 12.73, 5h20m, +83°21'14.63", 102°06'56.5", cúmulo estelar globular
M 13 (Gran Cúmulo Estelar en Hércules),   16h41m41.9s, +36°27'23.2", 6.48, 20.000, 11.72, 5h14m, +58°14'31.91", 102°27'49.4", cúmulo estelar globular
M 19,   17h02m37.8s, -26°16'03.5", 9.25, 17.000, 15.14, 5h35m, +59°02'45.97", 96°20'59.6", cúmulo estelar globular
M 35 (Cúmulo Hebilla de Zapato),    6h08m54.2s, +24°19'59.1", 5.66, 25.000, 12.39, 18h39m, +70°19'10.00", 98°31'27.0", cúmulo estelar abierto
M 36 (Cúmulo del Molinillo),    5h36m18.1s, +34°08'27.9", 7.13, 10.000, 11.87, 18h07m, +60°29'29.54", 91°28'49.7", cúmulo estelar abierto
M 37 (Cúmulo Sal y Pimienta de Enero),    5h52m18.2s, +32°33'14.1", 6.37, 15.000, 11.99, 18h23m, +62°05'18.49", 94°47'33.0", cúmulo estelar abierto
M 38 (Cúmulo Estrella de Mar),    5h28m43.0s, +35°51'22.5", 7.82, 15.000, 13.44, 17h59m, +58°46'18.38", 90°00'28.2", cúmulo estelar abierto
M 41 (Cúmulo de la Pequeña Colmena),    6h46m01.4s, -20°45'39.1", 4.91, 39.000, 12.61, 19h16m, +64°33'50.95", 105°20'10.9", cúmulo estelar abierto
M 42 (Gran Nebulosa de Orión),    5h35m17.3s, -5°23'37.8", 5.78, 90.000, 14.85, 18h05m, +79°58'27.42", 89°32'44.8", región HII
M 43 (Nebulosa de Mairan's),    5h35m31.0s, -5°16'21.8", 8.55, 20.000, 14.49, 18h06m, +80°05'42.92", 89°36'28.0", región HII
M 44 (Cúmulo de la Colmena),    8h40m25.0s, +19°39'57.8", 3.27, 70.000, 12.24, 21h10m, +75°04'19.07", 133°50'18.2", cúmulo estelar abierto
M 46,    7h41m46.8s, -14°48'47.9", 6.34, 20.000, 12.58, 20h12m, +70°28'45.10", 119°27'36.1", cúmulo estelar abierto
M 47,    7h36m35.7s, -14°29'10.7", 4.65, 25.000, 11.38, 20h06m, +70°48'32.78", 118°17'42.9", cúmulo estelar abierto
M 48,    8h13m43.8s, -5°45'09.5", 5.99, 30.000, 13.12, 20h43m, +79°31'21.51", 128°46'51.8", cúmulo estelar abierto
M 49,   12h29m48.0s, +7°59'52.7", 8.54, 10.200, 13.09, 1h03m, +86°47'27.06", 165°35'24.4", galaxia
M 50 (Cúmulo Forma de Corazón),    7h02m48.0s, -8°20'26.6", 6.21, 15.000, 11.83, 19h33m, +76°58'27.20", 111°00'00.9", cúmulo estelar abierto
M 51 (Galaxia del Remolino),   13h29m54.3s, +47°11'30.3", 8.30, 11.200, 12.98, 2h03m, +47°35'17.49", 129°02'45.6", galaxia
M 53,   13h12m56.4s, +18°09'55.1", 7.85, 13.000, 13.16, 1h46m, +76°37'05.13", 151°37'12.1", cúmulo estelar globular
M 58,   12h37m44.8s, +11°48'56.0", 9.80, 9.700, 13.68, 1h11m, +82°58'21.50", 162°09'39.2", galaxia
M 59,   12h42m03.5s, +11°38'39.8", 9.74, 5.400, 12.73, 1h15m, +83°08'36.23", 161°19'09.5", galaxia
M 60,   12h43m41.2s, +11°33'00.2", 8.94, 7.400, 12.80, 1h17m, +83°14'15.19", 161°00'30.5", galaxia
M 61 (Galaxia Espiral Hinchada),   12h21m56.2s, +4°28'16.5", 9.78, 9.700, 13.90, 0h55m, +89°40'55.02", 168°25'04.5", galaxia
M 62 (Cúmulo Globular del Parpadeo),   17h01m12.8s, -30°06'42.1", 8.92, 15.000, 14.54, 5h34m, +55°12'04.46", 96°14'07.5", cúmulo estelar globular
M 63 (Galaxia del Girasol),   13h15m50.8s, +42°01'33.6", 8.78, 13.180, 13.57, 1h49m, +52°45'24.65", 134°40'32.3", galaxia
M 64 (Galaxia Ojo Negro),   12h56m45.0s, +21°40'47.4", 8.65, 9.770, 12.59, 1h30m, +73°06'22.24", 152°38'15.4", galaxia
M 65 (Trío de Leo),   11h18m57.3s, +13°05'24.2", 9.43, 8.709, 12.49, 23h48m, +81°41'49.20", 168°39'45.6", galaxia
M 66 (Trío de Leo),   11h20m16.3s, +12°59'20.9", 9.03, 9.100, 12.72, 23h50m, +81°47'53.10", 168°52'30.3", galaxia
M 67 (Cúmulo Ojo Dorado),    8h51m19.0s, +11°47'54.5", 7.06, 25.000, 13.79, 21h21m, +82°56'40.59", 138°09'03.8", cúmulo estelar abierto
M 68,   12h39m29.3s, -26°44'43.3", 7.46, 11.000, 12.41, 1h13m, +58°27'59.84", 146°55'43.9", cúmulo estelar globular
M 78 (Nebulosa Gasparín),    5h46m46.9s, +0°00'42.3", 9.04, 8.000, 12.98, 18h17m, +85°22'22.25", 92°39'28.1", nebulosa de reflexión
M 80,   16h17m02.8s, -22°58'34.3", 7.88, 10.000, 12.62, 4h50m, +62°18'41.38", 107°04'20.6", cúmulo estelar globular
M 81 (Galaxia Bode),    9h55m36.4s, +69°03'59.1", 7.22, 26.900, 13.40, 22h26m, +25°42'07.38", 111°25'04.2", galaxia
M 82 (Galaxia del Cigarro),    9h55m55.8s, +69°40'51.0", 8.72, 11.200, 12.67, 22h26m, +25°05'15.81", 110°53'00.1", galaxia
M 83 (Galaxia Molinillo Austral),   13h37m02.1s, -29°51'58.7", 7.69, 12.900, 12.86, 2h10m, +55°21'19.56", 136°33'48.9", galaxia
M 84 (Cadena de Markarian),   12h25m05.0s, +12°53'04.2", 9.24, 6.500, 12.88, 0h58m, +81°54'16.68", 164°06'05.5", galaxia
M 85,   12h25m25.3s, +18°11'18.7", 9.24, 7.100, 12.96, 0h58m, +76°36'02.09", 160°15'53.3", galaxia
M 86 (Cadena de Markarian),   12h26m13.1s, +12°56'36.5", 9.04, 8.900, 13.06, 0h59m, +81°50'44.12", 163°50'59.5", galaxia
M 87 (Galaxia Virgo),   12h30m50.7s, +12°23'19.0", 8.74, 7.200, 12.70, 1h04m, +82°24'00.52", 163°16'45.1", galaxia
M 88,   12h32m00.5s, +14°25'04.3", 9.74, 6.900, 12.99, 1h05m, +80°22'14.90", 161°49'42.3", galaxia
